# SampleCounter	Dev.DutyCycle.value	Controller.enabled	Controller.alfa	Controller.alfa_dot	Controller.alfa_int	Controller.x	Controller.x_dot	Controller.x_int
8729	0.19701	1	-1.21924	-31.0493	22.6304	-0.114299	0.0271493	-227.636
8730	0.210918	1	-1.62087	-3.17314	21.0093	-0.114344	-0.00452489	-227.748
8731	0.0636484	1	-1.57306	7.55499	19.4361	-0.114185	0.0158371	-227.86
8732	0.0499811	1	-1.45983	11.3591	17.976	-0.11405	0.0135747	-227.972
8733	0.0608242	1	-1.47051	3.05523	16.5053	-0.113914	0.0135747	-228.084
8734	0.209064	1	-1.5256	-4.81666	14.9796	-0.113869	0.00452489	-228.195
8735	0.20542	1	-1.50365	-1.86455	13.4758	-0.113733	0.0135747	-228.307
8736	0.180558	1	-1.35309	9.29557	12.1225	-0.113597	0.0135747	-228.418
8737	0.0393543	1	-1.24157	7.25568	10.8808	-0.113371	0.0226244	-228.529
8738	0.0372139	1	-1.20726	7.17178	9.67348	-0.113258	0.0113122	-228.64
8739	0.064076	1	-1.35279	-3.78413	8.32059	-0.113167	0.00904977	-228.751
8740	0.227117	1	-1.54906	-12.316	6.77145	-0.113077	0.00904977	-228.862
8741	0.22687	1	-1.63393	-1.94794	5.13746	-0.112896	0.0180995	-228.972
